X,Y,Z
2232251.929030563,703452.1131119683,5925937.514709937
2232249.480931868,703461.7919637774,5925938.363098596
2232248.9379612203,703464.4475853773,5925938.467418089
2232248.2412425433,703478.747170147,5925937.677455161
2232248.325272922,703480.1013641125,5925937.700076532
2232248.470131261,703493.5954827849,5925937.118749313
2232248.6650754935,703494.9418074671,5925937.1005212525
2232248.6936202208,703497.6490695009,5925937.413478417
2232248.5440867045,703502.7415030956,5925937.295323775
2232248.7989033135,703515.5422497464,5925936.754840807
2232248.7188586188,703516.9732374571,5925937.045176696
2232247.514776921,703526.1448211903,5925937.48507199
2232247.4423430874,703527.4068906886,5925937.362524384
2232248.283668927,703543.5619951487,5925935.342681734
2232251.0732849804,703553.4355557084,5925933.549700035
2232251.493644697,703554.5103098904,5925933.26375418
2232252.086732263,703555.7251652435,5925932.89610938
2232252.7621696605,703556.9231459172,5925932.714481356
2232253.3595081703,703557.925190858,5925932.8005690025
2232256.4834125843,703561.5224351492,5925932.486937897
2232259.5708809304,703565.5793406318,5925932.132454438
2232261.410136171,703567.3582954498,5925931.873512334
2232262.5743654827,703568.2820370849,5925931.755350007
2232263.569879713,703569.1526034345,5925931.492020286
2232267.3343422753,703572.4378003097,5925930.9741314575
2232268.1080091274,703573.3241084076,5925930.792500142
2232269.0334501546,703574.1725921688,5925930.343152349
2232272.881392098,703579.4115036507,5925928.486676257
2232276.9669250473,703587.0381955457,5925926.902295193
2232278.2714492776,703588.648636679,5925926.434711352
2232280.0413995846,703587.7502464699,5925926.089677209
2232282.281751338,703585.7580159846,5925924.8371763835
2232282.490913465,703585.4384608938,5925924.796326293
2232282.490913465,703585.4384608938,5925924.796326293
2232282.1270458526,703589.4355650024,5925925.749024833
2232282.5730015202,703590.8182294752,5925926.061973596
2232283.643024071,703598.8222836629,5925925.353668267
2232284.1457204176,703603.2210315499,5925925.072097967
2232284.741437416,703606.1928379526,5925925.13994449
2232283.8779195943,703619.4982322397,5925924.100452883
2232284.653466077,703632.1210218272,5925923.1696545575
2232286.3756680936,703638.7888121473,5925923.019389758
2232286.628915657,703643.5801376137,5925923.645281931
2232286.4758979836,703645.930488104,5925923.8539125575
2232286.8064310104,703650.2322017461,5925924.293787901
2232287.5572680384,703655.6087116173,5925924.447709061
2232287.32785739,703659.7767657965,5925924.039203523
2232285.9147776035,703667.5550886439,5925923.217814849
2232284.662500478,703675.8552614761,5925922.273874212
2232284.509578627,703678.8481409115,5925921.761053175
2232285.466952241,703692.5136047922,5925920.852854124
2232285.6863435963,703693.7820707601,5925920.834616676
2232287.4388679033,703702.1728659036,5925920.253219253
2232288.8749113153,703706.6518208203,5925920.470597605
2232290.201177443,703712.1669947702,5925920.606272978
2232289.845101669,703716.3380111995,5925921.10523155
2232288.625542409,703720.4509847623,5925921.291247529
2232287.514425651,703725.840294666,5925921.499875853
2232288.890302207,703736.8109170133,5925919.248700128
2232289.362655911,703744.4555943534,5925917.7328398535
2232291.01201959,703749.9870343782,5925916.239589776
2232291.3961945716,703751.8643059114,5925915.871929824
2232293.371541149,703758.86919683,5925913.865852275
2232293.4456161526,703758.9782163455,5925913.82500109
2232293.2899410273,703759.5716360091,5925913.59813413
2232293.441716294,703759.5338186985,5925913.330415985
2232293.087352534,703759.3364344878,5925912.627204085
2232293.087352534,703759.3364344878,5925912.627204085
2232293.185993331,703759.3675322781,5925912.586352902
2232293.2274969295,703759.3806168254,5925912.999235629
2232292.8195639923,703761.3080052106,5925913.784149904
2232292.256054658,703764.4713436562,5925913.620745141
2232288.3190787495,703771.1114647522,5925914.315215183
2232284.316289967,703777.5166586384,5925915.277402781
2232279.643019314,703787.1799498647,5925915.890169538
2232271.6080188304,703799.2956626066,5925918.123110923
2232270.3369469168,703801.5077457255,5925918.554232985
2232264.612030287,703810.6680821697,5925920.48297564
2232263.293288185,703814.407128826,5925920.750693523
2232260.165849909,703821.1310730642,5925921.345219122
2232260.1843421506,703823.2357395802,5925920.873246437
2232260.186180142,703824.9496554428,5925920.668991571
2232258.723722543,703829.54289026,5925920.029241827
2232254.3107650676,703844.471032783,5925920.133555793
2232251.276124473,703857.435097336,5925919.9519127915
2232249.414597092,703872.5252630592,5925919.075802061
2232248.758756607,703881.8275698653,5925918.217929648
2232249.3411742635,703884.795423109,5925917.646014264
2232249.6113875844,703887.6219995258,5925917.423518883
2232253.86126741,703904.5537152955,5925914.241495093
2232254.2961398116,703916.6416062253,5925911.781676673
2232254.2484099576,703918.1685914716,5925911.618271214
2232256.1208512704,703936.1498462814,5925909.852154813
2232257.4044029703,703941.6090973875,5925908.935179354
2232258.5401583374,703947.1930919614,5925908.059054103
2232259.329308972,703963.5050177141,5925906.039080926
2232257.9578451747,703976.3513567331,5925905.244655225
2232255.7824014323,703982.5617399915,5925905.326358693
2232255.121876731,703983.7241540023,5925905.222046749
2232249.442464151,703994.954899084,5925905.8122138055
2232245.4019205896,704005.1604224305,5925906.551909837
2232241.4234434403,704015.8567003444,5925907.2099024365
2232242.2364399806,704015.3420731535,5925906.964792399
2232242.458627409,704015.669159123,5925906.842237354
2232242.2198490603,704015.5938520262,5925906.511058158
2232240.766615318,704020.7897753362,5925906.656221916
2232234.6386545985,704031.2793068916,5925907.718365054
2232232.4344615354,704033.45408224,5925908.290287776
2232230.1970378673,704034.8473385422,5925909.397647497
2232219.5878059464,704041.6103227807,5925913.45068206
2232213.5972144604,704045.3751221446,5925915.475010679
2232212.115670665,704046.8782541336,5925916.069539871
2232208.096474676,704049.8940919994,5925917.440243772
2232202.132086691,704054.6523180519,5925919.98176198
2232199.2898641843,704059.2387392942,5925921.152577436
2232198.874001702,704070.6730477316,5925920.380774822
2232198.973957032,704072.0753006215,5925920.176518564
2232198.9430153854,704078.3623170663,5925919.441195659
2232199.2564734267,704084.5437981699,5925917.943568426
2232199.339359204,704093.9080530741,5925916.799730579
2232197.599772814,704109.294139556,5925915.841906953
2232196.159014387,704123.1896078343,5925915.378667473
2232196.209779413,704124.7477064974,5925915.174410062
2232197.9391409224,704141.9563578282,5925912.478208005
2232200.185059732,704153.202491564,5925910.725952947
2232200.409444986,704155.929113137,5925910.317435833
2232203.8952076607,704170.9076600069,5925907.439567063
2232204.7482521404,704173.7041073338,5925906.785937119
2232206.3474119795,704178.7492428547,5925906.014114162
2232208.98367459,704190.6755603025,5925903.603846618
2232209.2199933156,704193.0204541222,5925903.236178135
2232210.41349166,704199.993822143,5925901.742896085
2232213.1670769732,704213.4565461068,5925900.1809888715
2232213.8682865286,704216.2908181109,5925899.795072461
2232214.2106050593,704221.8819528872,5925899.431761525
2232215.1017194767,704225.2901911234,5925899.336169582
2232216.5471122474,704228.9589747478,5925898.3557131635
2232221.0211397843,704239.5376452837,5925893.9079709705
2232223.8725290494,704244.8923195406,5925891.552414642
2232228.920894775,704252.953507848,5925888.692729755
2232236.6727803852,704269.5785082659,5925884.657009324
2232237.0190444244,704270.8872171972,5925884.371038835
2232238.1279022247,704274.8354542821,5925883.699141384
2232238.560504762,704276.2142442514,5925883.372317546
2232239.5107459608,704282.040161733,5925882.537006812
2232239.4133006325,704283.3802374756,5925882.414447704
